terrain_environmental_factors,material_labour_costs,regulatory_permitting_timeline,historical_delay_patterns,weather_seasonal_data,vendor_performance_structured,vendor_performance_semi_structured,vendor_performance_non_structured,material_cost_escalation_reason,cost_escalation_percentage,demand_supply_scenario,supply_delay_days,skilled_manpower_availability,equipment_availability,project_complexity,transmission_voltage_level,line_length_km,environmental_clearance_status,land_acquisition_percentage,time_overrun_percentage,cost_overrun_percentage,project_hotspots
Rural,52.66551501399881,30,20.21017848579566,Monsoon,1.3000000000000003,"{""delivery_time"": 2.06, ""quality"": 1.13, ""communication"": 1.48, ""technical_expertise"": 3.49}",Poor quality control and frequent delays,High,1.3,Deficit,14.712242648809202,0.7132441426823999,0.6617336673652483,Medium,765kV,58.336851294270446,Pending,99.42643829827217,13.936405519856867,24.926692575697118,Supply_Chain_Risk|Vendor_Risk|Resource_Risk|Weather_Risk
Forest,37.462293274185605,390,28.59821142124896,Winter,1.6000000000000005,"{""delivery_time"": 4.74, ""quality"": 1.83, ""communication"": 3.94, ""technical_expertise"": 4.47}",Excellent performance with timely delivery,Low,1.05,Surplus,0.0,0.5985451498468156,0.6757640207984401,Medium,765kV,78.49347566885164,Under_Review,62.5666487244434,19.44611445207842,25.716011197271303,Cost_Critical|Environmental_Risk|Vendor_Risk|Resource_Risk|Land_Acquisition_Risk
Coastal,66.84356131810733,510,30.833532281047788,Post_Monsoon,3.200000000000002,"{""delivery_time"": 3.08, ""quality"": 3.68, ""communication"": 4.26, ""technical_expertise"": 2.04}",Average performance with communication issues,Low,1.05,Balanced,8.063204712938536,0.7254674836463242,0.5316596234861605,High,132kV,98.19442953243085,Obtained,84.31488043966073,9.75905276556066,23.69689832589417,Resource_Risk
Mountainous,88.73817926888603,90,39.974751497295046,Post_Monsoon,1.1,"{""delivery_time"": 2.19, ""quality"": 1.0, ""communication"": 4.85, ""technical_expertise"": 4.67}",Poor quality control and frequent delays,Medium,1.15,Balanced,8.396304404443573,0.9752805725553086,0.9929808422007087,Very_High,765kV,21.845729712602342,Under_Review,79.18175709828756,12.05511333140974,27.77570418627917,Cost_Critical|Environmental_Risk|Vendor_Risk|Land_Acquisition_Risk
Urban,75.91591373465528,240,25.64704510366936,Winter,3.300000000000002,"{""delivery_time"": 4.06, ""quality"": 1.32, ""communication"": 2.79, ""technical_expertise"": 1.41}",Excellent performance with timely delivery,Low,1.05,Balanced,5.327516340596718,0.5236104425748256,0.515767314065612,Medium,132kV,53.46009820793455,Obtained,69.81936428589098,14.064459650149942,7.0540465338510225,Resource_Risk|Land_Acquisition_Risk
Urban,86.07522414831513,420,60.080267407829055,Summer,4.900000000000004,"{""delivery_time"": 1.06, ""quality"": 3.46, ""communication"": 4.84, ""technical_expertise"": 4.61}",Average performance with communication issues,High,1.3,Balanced,9.138565867913766,0.7928988150364022,0.8312484365921392,Medium,765kV,59.61500824280162,Pending,66.54206845291786,16.20395961729384,13.078814421830405,Land_Acquisition_Risk
Urban,81.26148201370363,90,28.676918259822553,Post_Monsoon,4.000000000000003,"{""delivery_time"": 3.79, ""quality"": 1.39, ""communication"": 2.1, ""technical_expertise"": 2.28}",Good quality but delayed deliveries,Medium,1.15,Deficit,15.966521990529964,0.42603801649363116,0.6856138238787153,High,220kV,40.24771534047728,Pending,89.48337432635945,9.380597756919974,24.152387051992605,Supply_Chain_Risk|Resource_Risk
Desert,79.64278166379717,480,47.109748534806535,Monsoon,4.000000000000003,"{""delivery_time"": 4.05, ""quality"": 4.21, ""communication"": 2.54, ""technical_expertise"": 2.67}",Average performance with communication issues,High,1.3,Surplus,0.0,0.43984984268886096,0.8230051454733495,High,400kV,88.71289485904197,Under_Review,96.65259497924745,21.907167113578705,9.827082508364839,Resource_Risk|Weather_Risk
Mountainous,73.42127149218044,390,0.0,Post_Monsoon,4.900000000000004,"{""delivery_time"": 1.18, ""quality"": 2.16, ""communication"": 2.81, ""technical_expertise"": 1.47}",Average performance with communication issues,Low,1.05,Balanced,4.008626416428393,0.731096934534151,0.6781241265437918,High,765kV,82.40710682768336,Pending,64.3018504781889,13.619926779294424,1.2792406218577952,Environmental_Risk|Resource_Risk|Land_Acquisition_Risk
Coastal,30.102703196712152,600,41.1968743546075,Winter,4.3000000000000025,"{""delivery_time"": 2.81, ""quality"": 4.41, ""communication"": 3.33, ""technical_expertise"": 1.32}",Outstanding technical expertise and support,High,1.3,Critical_Shortage,35.67866521293551,0.4629635081967697,0.8368753231294294,Medium,132kV,134.82975585072708,Under_Review,67.75920848424022,13.48789669605341,17.24030620057358,Supply_Chain_Risk|Resource_Risk|Land_Acquisition_Risk
